Animal #,Treatment,Date,18:00-19:00,18:00-19:00_Total,23:30-00:30,23:30-00:30_Total,05:00-06:00,05:00-06:00_Total
m1,C57BL/6-Ad-Libitum,06/08/20,0,0,0,0,0,0
m2,C57BL/6-Ad-Libitum,06/08/20,0,0,0,0,0,0
m3,C57BL/6-Ad-Libitum,06/08/20,0,0,0,0,0,0
m11,C57BL/6-Ad-Libitum,15/10/20,0,0,0,0,0,0
m18,C57BL/6-Ad-Libitum,12/02/20,0,0,0,0,0,0
m45,C57BL/6-Ad-Libitum,05/10/23,0,0,0,0,0,0
m46,C57BL/6-Ad-Libitum,05/10/23,0,0,0,0,0,0
m47,C57BL/6-Ad-Libitum,05/10/23,0,0,0,0,0,0
m7,C57BL/6-Grazing,06/08/20,0,0,0,0,0,0
m16,C57BL/6-Grazing,15/10/20,0,0,0,0,0,0
m19,C57BL/6-Grazing,12/02/20,0,0,0,0,0,0
m35,C57BL/6-Grazing,13/01/22,0,0,0,0,0,0
m38,C57BL/6-Grazing,14/04/22,0,0,0,0,0,0
m42,C57BL/6-Grazing,07/07/22,0,0,0,0,0,0
m48,C57BL/6-Grazing,05/10/23,0,0,0,0,0,0
m49,C57BL/6-Grazing,05/10/23,0,0,0,0,0,0
m17,C57BL/6-Meal-Fed,15/10/20,0,0,0,0,0,0
m20,C57BL/6-Meal-Fed,12/02/20,0,0,0,0,0,0
m26,C57BL/6-Meal-Fed,28/01/21,0,0,0,0,0,0
m36,C57BL/6-Meal-Fed,13/01/22,0,0,0,0,0,0
m39,C57BL/6-Meal-Fed,14/04/22,0,0,0,0,0,0
m43,C57BL/6-Meal-Fed,07/07/22,0,0,0,0,0,0
m50,C57BL/6-Meal-Fed,05/10/23,0,0,0,0,0,0
m51,C57BL/6-Meal-Fed,05/10/23,0,0,0,0,0,0
m30,C57BL/6-Ad-Libitum,05/06/21,0,0,0,0,0,0
m31,C57BL/6-Grazing,05/06/21,0,0,0,0,0,0
m32,C57BL/6-Meal-Fed,05/06/21,0,0,0,0,0,0
m33,C57BL/6-Meal-Fed,05/06/21,0,0,0,0,0,0
m4,LoxTB-GHSR-Ad-Libitum,06/08/20,0,0,0,0,0,0
m5,LoxTB-GHSR-Ad-Libitum,06/08/20,0,0,0,0,0,0
m6,LoxTB-GHSR-Ad-Libitum,06/08/20,0,0,0,0,0,0
m12,LoxTB-GHSR-Ad-Libitum,15/10/20,0,0,0,0,0,0
m13,LoxTB-GHSR-Ad-Libitum,15/10/20,0,0,0,0,0,0
m21,LoxTB-GHSR-Ad-Libitum,12/02/20,0,0,0,0,0,0
m22,LoxTB-GHSR-Ad-Libitum,12/02/20,0,0,0,0,0,0
m23,LoxTB-GHSR-Ad-Libitum,12/02/20,0,0,0,0,0,0
m52,LoxTB-GHSR-Ad-Libitum,05/10/23,0,0,0,0,0,0
m8,LoxTB-GHSR-Grazing,06/08/20,0,0,0,0,0,0
m14,LoxTB-GHSR-Grazing,15/10/20,0,0,0,0,0,0
m15,LoxTB-GHSR-Grazing,15/10/20,0,0,0,0,0,0
m24,LoxTB-GHSR-Grazing,12/02/20,0,0,0,0,0,0
m27,LoxTB-GHSR-Grazing,28/01/21,0,0,0,0,0,0
m40,LoxTB-GHSR-Grazing,14/04/22,0,0,0,0,0,0
m44,LoxTB-GHSR-Grazing,07/07/22,0,0,0,0,0,0
m53,LoxTB-GHSR-Grazing,05/10/23,0,0,0,0,0,0
m9,LoxTB-GHSR-Meal-Fed,06/08/20,0,0,0,0,0,0
m10,LoxTB-GHSR-Meal-Fed,06/08/20,0,0,0,0,0,0
m25,LoxTB-GHSR-Meal-Fed,12/02/20,0,0,0,0,0,0
m28,LoxTB-GHSR-Meal-Fed,28/01/21,0,0,0,0,0,0
m29,LoxTB-GHSR-Meal-Fed,28/01/21,0,0,0,0,0,0
m37,LoxTB-GHSR-Meal-Fed,13/01/22,0,0,0,0,0,0
m41,LoxTB-GHSR-Meal-Fed,14/04/22,0,0,0,0,0,0
m54,LoxTB-GHSR-Meal-Fed,05/10/23,0,0,0,0,0,0
m55,LoxTB-GHSR-Meal-Fed,05/10/23,0,0,0,0,0,0
m34,LoxTB-GHSR-Meal-Fed,05/06/21,0,0,0,0,0,0
